big_ups_rpt.txt

This report shows that Mean-Reversion is comparatively weak
when stocks move sharply up.



dan@ub97hp_scikit ~/hr $ ./psql.bash -f big_ups_rpt.sql 
--
-- big_ups_rpt.sql
--
-- I use this script to study Mean-Reversion in the Stock Market.
-- Now I am ready to report.
\C 'Next day summary of stocks which upped 2% or more the day before:'
Title is "Next day summary of stocks which upped 2% or more the day before:".
SELECT 
tkr ticker
,COUNT(ydate) event_count
,MIN(ydate)   min_date
,MAX(ydate)   max_date
,ROUND(100*AVG(nlg1),3)    avg_day1_pct_up
,ROUND(100*AVG(ng),3)      avg_day1_pct_gain
FROM td12
WHERE nlg1 > 2.0/ 100.0
AND ydate > '2008-01-01'
AND ng IS NOT NULL
GROUP BY tkr ORDER BY AVG(ng)
;
          Next day summary of stocks which upped 2% or more the day before:
 ticker | event_count |  min_date  |  max_date  | avg_day1_pct_up | avg_day1_pct_gain 
 BBT    |         243 | 2008-01-16 | 2013-12-18 |           4.214 |            -0.393
 SCG    |          64 | 2008-02-01 | 2013-09-18 |           3.249 |            -0.393
 ENZL   |          42 | 2010-10-01 | 2013-09-18 |           2.668 |            -0.389
 TOT    |         164 | 2008-01-03 | 2013-08-28 |           3.508 |            -0.385
 INTU   |         140 | 2008-01-07 | 2013-07-01 |           3.497 |            -0.382
 TCS    |          17 | 2013-11-18 | 2014-01-30 |           4.337 |            -0.378
 VOD    |         157 | 2008-01-24 | 2013-12-06 |           3.377 |            -0.370
 AMAT   |         231 | 2008-01-14 | 2013-11-21 |           3.445 |            -0.368
 MMM    |         110 | 2008-01-28 | 2013-12-18 |           3.137 |            -0.364
 WMT    |          63 | 2008-01-10 | 2013-10-10 |           3.131 |            -0.361
 PCAR   |         231 | 2008-01-14 | 2013-12-16 |           3.914 |            -0.360
 T      |          86 | 2008-01-28 | 2013-02-01 |           3.381 |            -0.360
 HRS    |         169 | 2008-01-11 | 2014-01-28 |           3.467 |            -0.357
 CTXS   |         268 | 2008-01-10 | 2014-01-15 |           3.574 |            -0.350
 RE     |         120 | 2008-01-09 | 2014-01-30 |           3.738 |            -0.348
 DIS    |         154 | 2008-01-24 | 2014-01-30 |           3.578 |            -0.342
 ADT    |          25 | 2012-10-16 | 2013-11-20 |           3.010 |            -0.335
 CVS    |         135 | 2008-01-07 | 2013-12-18 |           3.202 |            -0.332
 FUL    |         255 | 2008-01-09 | 2014-01-14 |           3.952 |            -0.326
 ALTR   |         233 | 2008-01-14 | 2013-11-21 |           3.602 |            -0.324
 NSR    |         135 | 2008-01-07 | 2014-01-28 |           3.493 |            -0.321
 ACE    |         153 | 2008-01-22 | 2013-11-21 |           3.725 |            -0.320
 HSIC   |         109 | 2008-01-08 | 2013-08-01 |           3.161 |            -0.320
 DVN    |         237 | 2008-01-02 | 2014-01-07 |           3.600 |            -0.317
 FXI    |         209 | 2008-01-07 | 2014-01-22 |           3.913 |            -0.315
 AON    |         113 | 2008-01-28 | 2014-01-14 |           3.209 |            -0.310
 RLI    |         126 | 2008-01-10 | 2013-11-21 |           3.585 |            -0.309
 MTX    |         204 | 2008-01-14 | 2013-12-06 |           3.508 |            -0.304
 MUR    |         239 | 2008-01-09 | 2013-10-10 |           3.604 |            -0.303
 TXN    |         188 | 2008-01-23 | 2014-01-14 |           3.222 |            -0.301
 RTN    |         115 | 2008-01-03 | 2014-01-30 |           2.945 |            -0.298
 MCK    |         130 | 2008-01-07 | 2014-01-30 |           3.475 |            -0.298
 XLF    |         187 | 2008-01-22 | 2013-12-18 |           4.250 |            -0.296
 MSFT   |         157 | 2008-01-09 | 2014-01-24 |           3.365 |            -0.296
 SLB    |         238 | 2008-01-02 | 2013-10-18 |           3.767 |            -0.294
 LLL    |         109 | 2008-01-09 | 2013-12-18 |           2.983 |            -0.290
 EXPD   |         208 | 2008-01-14 | 2013-10-24 |           3.632 |            -0.289
 CHRW   |         156 | 2008-01-16 | 2014-01-15 |           3.436 |            -0.289
 FB     |          91 | 2012-05-23 | 2014-01-30 |           4.208 |            -0.287
 GME    |         282 | 2008-01-14 | 2014-01-27 |           3.737 |            -0.284
 VRSN   |         191 | 2008-01-09 | 2014-01-07 |           3.849 |            -0.277
 CLC    |         191 | 2008-01-14 | 2013-12-16 |           3.567 |            -0.276
 BP     |         157 | 2008-01-24 | 2013-10-29 |           3.508 |            -0.274
 HON    |         173 | 2008-01-23 | 2014-01-30 |           3.356 |            -0.272
 AXP    |         225 | 2008-01-09 | 2014-01-17 |           4.270 |            -0.269
 DIA    |          76 | 2008-01-23 | 2013-10-10 |           3.246 |            -0.266
 LLTC   |         164 | 2008-01-16 | 2014-01-15 |           3.293 |            -0.264
 AMGN   |         135 | 2008-01-08 | 2014-01-22 |           3.414 |            -0.262
 PAYX   |         109 | 2008-01-23 | 2013-12-19 |           3.242 |            -0.258
 EOG    |         274 | 2008-01-02 | 2014-01-28 |           3.774 |            -0.258
 ESRX   |         168 | 2008-01-07 | 2013-11-06 |           3.582 |            -0.256
 IGTE   |         335 | 2008-01-09 | 2014-01-30 |           4.692 |            -0.255
 DEO    |         100 | 2008-01-16 | 2014-01-21 |           3.089 |            -0.254
 JPM    |         252 | 2008-01-10 | 2014-01-15 |           4.507 |            -0.253
 CAH    |         129 | 2008-01-08 | 2014-01-30 |           3.192 |            -0.251
 WAG    |         140 | 2008-01-07 | 2014-01-09 |           3.402 |            -0.249
 TDC    |         239 | 2008-01-16 | 2014-01-15 |           3.582 |            -0.249
 AMZN   |         256 | 2008-01-02 | 2014-01-30 |           3.899 |            -0.248
 SYT    |         192 | 2008-01-03 | 2013-10-17 |           3.435 |            -0.241
 CVX    |         116 | 2008-01-24 | 2013-12-18 |           3.511 |            -0.239
 MJN    |         112 | 2009-02-12 | 2014-01-28 |           3.197 |            -0.236
 SMG    |         185 | 2008-01-07 | 2013-08-20 |           3.636 |            -0.236
 PFE    |         126 | 2008-01-23 | 2014-01-30 |           3.065 |            -0.235
 RDY    |         223 | 2008-01-24 | 2014-01-28 |           3.289 |            -0.231
 TSM    |         217 | 2008-01-09 | 2014-01-16 |           3.608 |            -0.230
 BBBY   |         199 | 2008-01-16 | 2013-11-13 |           3.667 |            -0.230
 ITW    |         150 | 2008-01-10 | 2013-10-10 |           3.406 |            -0.228
 USNA   |         276 | 2008-01-10 | 2014-01-30 |           4.205 |            -0.228
 MXIM   |         220 | 2008-01-16 | 2014-01-28 |           3.292 |            -0.226
 ADBE   |         211 | 2008-02-04 | 2014-01-15 |           3.620 |            -0.225
 AWH    |         124 | 2008-01-03 | 2013-10-10 |           3.669 |            -0.225
 KGC    |         337 | 2008-01-02 | 2014-01-23 |           4.223 |            -0.223
 K      |          50 | 2008-01-07 | 2013-06-13 |           3.177 |            -0.220
 MT     |         333 | 2008-01-14 | 2014-01-28 |           4.400 |            -0.217
 GD     |         144 | 2008-01-09 | 2014-01-22 |           3.146 |            -0.211
 PCLN   |         266 | 2008-01-14 | 2014-01-30 |           3.991 |            -0.210
 HPQ    |         196 | 2008-01-09 | 2014-01-16 |           3.446 |            -0.207
 SPY    |          83 | 2008-01-23 | 2013-10-10 |           3.317 |            -0.203
 XLB    |         152 | 2008-01-14 | 2013-10-10 |           3.182 |            -0.199
 MDY    |         116 | 2008-01-23 | 2013-10-10 |           3.387 |            -0.198
 IWM    |         146 | 2008-01-23 | 2013-10-10 |           3.369 |            -0.197
 YHOO   |         210 | 2008-01-10 | 2014-01-28 |           3.902 |            -0.191
 VIAB   |         190 | 2008-01-28 | 2014-01-30 |           3.675 |            -0.191
 HUM    |         224 | 2008-01-02 | 2013-12-06 |           3.711 |            -0.184
 XLNX   |         196 | 2008-01-16 | 2014-01-22 |           3.361 |            -0.184
 DNB    |          94 | 2008-01-11 | 2013-12-20 |           3.172 |            -0.183
 XLE    |         162 | 2008-01-24 | 2013-01-02 |           3.447 |            -0.175
 PG     |          67 | 2008-03-18 | 2013-12-06 |           2.981 |            -0.174
 JNJ    |          47 | 2008-03-17 | 2014-01-07 |           3.034 |            -0.174
 ABT    |          84 | 2008-01-07 | 2013-12-18 |           2.890 |            -0.174
 WDC    |         334 | 2008-01-09 | 2014-01-30 |           3.874 |            -0.174
 SIAL   |         154 | 2008-01-09 | 2013-12-27 |           3.221 |            -0.173
 KSS    |         208 | 2008-01-09 | 2014-01-10 |           3.634 |            -0.172
 ICE    |         239 | 2008-01-10 | 2014-01-30 |           4.442 |            -0.171
 PX     |         130 | 2008-01-14 | 2013-12-06 |           3.533 |            -0.171
 DGX    |          99 | 2008-01-09 | 2014-01-07 |           3.270 |            -0.170
 KLAC   |         239 | 2008-01-14 | 2014-01-14 |           3.652 |            -0.161
 ORCL   |         168 | 2008-01-03 | 2013-12-19 |           3.348 |            -0.160
 PII    |         288 | 2008-01-14 | 2014-01-22 |           4.126 |            -0.160
 NKE    |         156 | 2008-01-28 | 2014-01-30 |           3.541 |            -0.160
 DVA    |         121 | 2008-01-07 | 2014-01-02 |           3.478 |            -0.159
 SOHU   |         348 | 2008-01-09 | 2014-01-28 |           4.243 |            -0.159
